lab_code,mortality_id,field_code,smu_format,pathology_num,date_found,site,sex,estimated_age,length_cm,weight_kg,preservation_code,category,broad_category,cancer,digestive_cancer,mammary_cancer
Bel00128,98,DL1996-09,DL-09-96,96-9330,1996-11-23,Saint-Ulric,M,50,393,1072,2.5,Neoplasia,Neoplasia,1,1,0
Bel00816,207,DL2011-03,DL-03-11,P1047-11,08-06-2011,Matane,F,30,306,718,3,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00155,99,DL1997-01,DL-01-97,97-4579,1997-05-03,Rivière-Ouelle,M,16,396,931,3,Undetermined,Undetermined,0,0,0
Bel00818,208,DL2011-04,DL-04-11,P1247-11,12-07-2011,Percé,F,56,361,466,2,Neoplasia,Neoplasia,1,1,0
Bel00156,100,DL1997-02,DL-02-97,97-5351,1997-05-23,Île-aux-Lièvres,F,57,338,614,2,Undetermined,Undetermined,0,0,0
Bel00820,209,DL2011-05,DL-05-11,P1426-11,09-08-2011,Métis-sur-Mer,F,14,356,795,2.5,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00158,101,DL1997-03,DL-03-97,97-5837,1997-06-08,Rivière-Ouelle,F,43,363,841,2,Infectious - bacterial,Infectious,0,0,0
Bel00824,211,DL2011-07,DL-07-11,P1836-11,09-10-2011,La Martre,M,55,424,1017,4,Undetermined,Undetermined,0,0,0
Bel00161,102,DL1997-04,DL-04-97,97-6568,1997-07-01,Bic,M,0,139,43,1->2,Neonatal mortality,Neonatal mortality,0,0,0
Bel00826,212,DL2011-08,DL-08-11,P1966-11,28-10-2011,Saint-Fabien,F,22,335,510,2.5,Verminous bronchopneumonia,Infectious,0,0,0
Bel00162,103,DL1997-05,DL-05-97,97-6984,1997-07-15,Île Saint-Barnabé (au large),M,12,378,744,2,Infectious - bacterial,Infectious,0,0,0
Bel00828,213,DL2011-09,DL-09-11,P2076-11,09-11-2011,Pointe-aux-Outardes,M,43,435,1368,2.5,Undetermined,Undetermined,0,0,0
Bel00164,104,DL1997-06,DL-06-97,97-7479,1997-07-29,Sainte-Luce,F,62,385,693,2.5,Trauma,Antropogenic causes,0,0,0
Bel00165,105,DL1997-07,DL-07-97,97-B740,1997-11-25,Baie-des-Sables,M,53,428,0,3.5,Undetermined,Undetermined,0,0,0
Bel00859,169,DL2006-01,DL-01-06,06-7004,11-07-2006,Pointe-au-Père,M,55,436,903,3.5,Neoplasia,Neoplasia,1,1,0
Bel00191,106,DL1998-01,DL-01-98,98-1966,1998-03-06,Sainte-Flavie,F,5,277,381,2,Verminous bronchopneumonia,Infectious,0,0,0
Bel00951,214,DL2012-01,DL-12-001,P934-12,19-05-2012,Baie-des-Sables,F,26,364,629,2.5,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00194,107,DL1998-02,DL-02-98,98-5138,1998-05-23,Sainte-Flavie,M,26,401,711,2,Infectious - bacterial,Infectious,0,0,0
Bel00953,215,DL2012-02,DL-12-002,P995-12,27-05-2012,Grosses Roches,M,23,396,738,3,Verminous bronchopneumonia,Infectious,0,0,0
Bel00195,108,DL1998-03,DL-03-98,98-5151,1998-05-24,Riviere-du-Loup (Anse au Persil),F,59,377,916,2,Neoplasia,Neoplasia,1,1,1
Bel00955,216,DL2012-03,DL-12-003,P1370-12,16-07-2012,Île-aux-Fraises,F,21,357,697,3,Undetermined,Undetermined,0,0,0
Bel00197,109,DL1998-04,DL-04-98,98-5165,1998-05-24,Sainte-Flavie,F,42,356,534,2,Neoplasia,Neoplasia,1,1,1
Bel00957,218,DL2012-05,DL-12-005,P2144-12,04-08-2012,Rivière-du-Loup (au large),M,0,144,44,4,Neonatal mortality,Neonatal mortality,0,0,0
Bel00200,110,DL1998-05,DL-05-98,98-5615,02-06-1998,Saint-Denis-de-Kamouraska,M,2,239,251,3,Toxoplasmosis,Infectious,0,0,0
Bel00960,221,DL2012-08,DL-12-008,P2238-12,05-11-2012,Métis-sur-mer,M,53,402,940,3,Undetermined,Undetermined,0,0,0
Bel00202,111,DL1998-06,DL-06-98,98-7252,16-07-1998,Bic,F,18,388,1003,3,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00962,222,DL2012-09,DL-12-009,P2261-12,07-11-2012,Rivière-du-Loup,F,30,361,761,3.5,Undetermined,Undetermined,0,0,0
Bel00203,112,DL1998-07,DL-07-98,98-8080,1998-08-07,Matane,M,36,406,639,2,Protozoal pneumonia,Infectious,0,0,0
Bel00990,223,DL2013-01,DL-13-001,P1756-13,2013-07-28,Rimouski,F,0,136,34,2,Neonatal mortality,Neonatal mortality,0,0,0
Bel00205,113,DL1998-08,DL-08-98,98-A116,27-09-1998,Port-Cartier,M,45,396,862,3,Protozoal pneumonia,Infectious,0,0,0
Bel00992,224,DL2013-02,DL-13-002,P1817-13,2013-09-02,Tourelle,M,0,148,46,2,Neonatal mortality,Neonatal mortality,0,0,0
Bel00207,114,DL1998-09,DL-09-98,98-D126,04-12-1998,Sainte-Flavie,M,47,406,1019,2.5,Neoplasia,Neoplasia,1,1,0
Bel00994,226,DL2013-04,DL-13-004,P2253-13,2013-10-25,Longue Rive,F,47,367,716,3.5,Undetermined,Undetermined,0,0,0
Bel00237,115,DL1999-01,DL-01-99,99-4438,08-04-1999,Sainte-Flavie,M,35,402,821,2.5,Toxoplasmosis,Infectious,0,0,0
Bel00996,227,DL2013-05,DL-13-005,P2371-13,31-10-2013,Les Escoumins,M,21,418,870,2,Undetermined,Undetermined,0,0,0
Bel00238,116,DL1999-02,DL-02-99,99-5107,24-04-1999,Métis-sur-Mer,M,38,416,1005,3.5,Infectious - bacterial,Infectious,0,0,0
Bel00998,228,DL2013-06,DL-13-006,P2766-13,26-05-2013,Saint-Fabien-sur-Mer,F,34,352,470,2,Infectious - bacterial,Infectious,0,0,0
Bel00239,117,DL1999-03,DL-03-99,99-6797,31-05-1999,Ile-aux-Lièvres,F,54,366,832,4,Undetermined,Undetermined,0,0,0
Bel01000,229,DL2013-07,DL-13-007,P2835-13,01-06-2013,Grand-Métis,M,54,438,596,2,Verminous bronchopneumonia,Infectious,0,0,0
Bel00240,118,DL1999-04,DL-04-99,99-7116,07-06-1999,Trois-Pistoles (au large),M,35,398,985,3,Neoplasia,Neoplasia,1,1,0
Bel01015,230,DL2014-01,DL-14-001,P1945-14,25-07-2014,Bic,M,0,147,50,1->2,Neonatal mortality,Neonatal mortality,0,0,0
Bel00241,119,DL1999-05,DL-05-99,99-8302,05-07-1999,Saint-Ulric,F,30,357,516,2,Neoplasia,Neoplasia,1,1,0
Bel01017,231,DL2014-02,DL-14-002,P2099-14,07-08-2014,Sainte-Flavie,F,9,339,600,3.5,Undetermined,Undetermined,0,0,0
Bel00243,120,DL1999-06,DL-06-99,99-9817,03-08-1999,Matane (au large),M,29,418,1181,3.5,Undetermined,Undetermined,0,0,0
Bel01018,232,DL2014-03,DL-14-003,P2588-14,28-09-2014,Saint-André-de-Kamouraska,F,32,360,565,2.5,Undetermined,Undetermined,0,0,0
Bel00244,121,DL1999-07,DL-07-99,99-A645,19-08-1999,Trois-Pistoles (au large),F,32,338,462,2,Verminous bronchopneumonia,Infectious,0,0,0
Bel00246,122,DL1999-08,DL-08-99,99-D065,13-09-1999,Cacouna (au large),F,0,157,0,3,Neonatal mortality,Neonatal mortality,0,0,0
Bel01203,233,DL2015-01,DL-15-001,P1383-15,26-05-2015,Les Bergeronnes,M,39,320,860,3,Trauma,Antropogenic causes,0,0,0
Bel00247,123,DL1999-09,DL-09-99,99-D416,15-10-1999,Saint-Denis-de-Kamouraska,F,39,389,845,2.5,Infectious - bacterial,Infectious,0,0,0
Bel01207,234,DL2015-02,DL-15-002,P1395-15,31-05-2015,Notre-Dame du Sacré-Cœur Rimouski,M,6,310,497,2.5,Verminous bronchopneumonia,Infectious,0,0,0
Bel00280,124,DL2000-01,DL-01-00,00-B006,22-07-2000,Trois-Pistoles (au large),F,11,353,316,3,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel01209,235,DL2015-03,DL-15-003,P1864-15,17-07-2015,Sainte-Flavie,F,21,335,530,2.5,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00281,125,DL2000-02,DL-02-00,00-B201,26-07-2000,Tadoussac,F,9,316,284,3.5,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel01211,236,DL2015-04,DL-15-004,P1931-15,25-07-2015,Longue Rive,F,33,354,823,3,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00288,128,DL2000-05,DL-05-00,00-F152,12-10-2000,Cacouna,F,50,401,803,2,Neoplasia,Neoplasia,1,1,1
Bel00319,130,DL2001-02,DL-02-01,01-6755,04-05-2001,Sainte-Thérèse du Cap Colombier,F,61,375,678,3,Neoplasia,Neoplasia,1,0,0
Bel01213,237,DL2015-05,DL-15-005,P1961-15,29-07-2015,Sainte-Flavie,F,0,147,50,1->2,Neonatal mortality,Neonatal mortality,0,0,0
Bel00322,131,DL2001-03,DL-03-01,01-9185,22-06-2001,Cap-Chat,M,48,418,1173,3.5,Undetermined,Undetermined,0,0,0
Bel01215,238,DL2015-06,DL-15-006,P2145-15,18-08-2015,Les Escoumins,F,33,371,720,2.5,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00325,132,DL2001-04,DL-04-01,01-A836,28-07-2001,Île au Caribou Côte Nord,M,60,410,1189,3.5,Verminous gastro-enteritis / peritonitis,Infectious,0,0,0
Bel01239,240,DL2016-01,DL-16-001,P1688-16,28-05-2016,Les Escoumins,F,15,326,489,2,Undetermined,Undetermined,0,0,0
Bel00331,133,DL2001-05,DL-05-01,01-D757,25-09-2001,Île Verte,M,7,298,342,2.5,Infectious - bacterial,Infectious,0,0,0
Bel01241,241,DL2016-02,DL-16-002,P2017-16,28-06-2016,Sainte-Flavie,F,18,352,575,3,Toxoplasmosis,Infectious,0,0,0
Bel00332,134,DL2001-06,DL-06-01,01-D923,02-10-2001,Pointe-au-Père,F,9,300,335,2,Infectious - bacterial,Infectious,0,0,0
Bel01243,242,DL2016-03,DL-16-003,P2442-16,05-08-2016,Pointe-au-Père,F,0,161,59,2,Neonatal mortality,Neonatal mortality,0,0,0
Bel00335,135,DL2001-07,DL-07-01,01-G438,18-11-2001,Baie-des-Ha!-Ha! Bic,M,59,391,840,3.5,Undetermined,Undetermined,0,0,0
