"sampleid"	"PHt"	"Hs_obs"	"Hs_exp"	"IR"	"HL"
"107"	"Bel00824"	"0.214041593949971"	"0.985864499782566"	"1.09023360240607"	"-0.0985306778279851"	"0.62072566010605"
"108"	"Bel00826"	"0.207760711398545"	"0.946415510564138"	"1.0478760351963"	"-0.0470591206889571"	"0.646548931741656"
"109"	"Bel00828"	"0.21115312577305"	"0.962340889728276"	"1.06452033256212"	"-0.0723258585084464"	"0.634142469179536"
"110"	"Bel00854"	"0.223727572317832"	"1.05967406862662"	"1.16624304788802"	"-0.163806472192758"	"0.596393130013374"
"111"	"Bel00859"	"0.219921818445056"	"1.00913389865113"	"1.11637965528987"	"-0.110990065577399"	"0.616364734861181"
"112"	"Bel00951"	"0.222494962447335"	"1.03615174927995"	"1.14677076994096"	"-0.145037445595362"	"0.61114907448176"
"113"	"Bel00953"	"0.222754217966256"	"1.0493247790342"	"1.15847437642232"	"-0.167863945694852"	"0.599276409658772"
"114"	"Bel00955"	"0.221288100440724"	"1.0154418481383"	"1.12267144486073"	"-0.127776112060701"	"0.612003790705717"
"115"	"Bel00957"	"0.218277889409838"	"1.01350959180123"	"1.12194085665967"	"-0.13796948976581"	"0.608730160752191"
"116"	"Bel00960"	"0.212983172569176"	"0.967803871978079"	"1.07105818666563"	"-0.0613950807231631"	"0.637993788209507"
"117"	"Bel00962"	"0.206375476721595"	"0.938152267015704"	"1.03923070782706"	"-0.0503122225026961"	"0.645883973398619"
"118"	"Bel00990"	"0.209957559114091"	"0.964140608733917"	"1.06744210401224"	"-0.0799793404356729"	"0.634100010402445"
"119"	"Bel00992"	"0.216319745591211"	"0.994996007600212"	"1.10099302454501"	"-0.105546704983041"	"0.62359476239467"
"120"	"Bel00994"	"0.218070652173913"	"0.996049814439419"	"1.1027965335704"	"-0.104448751363823"	"0.621432917612801"
"121"	"Bel00996"	"0.208484549522568"	"0.944054689371016"	"1.04607466148939"	"-0.0514740939699939"	"0.639669961245311"
"122"	"Bel00998"	"0.212432489674891"	"0.969177961278058"	"1.07340900878875"	"-0.0751045763644196"	"0.635099792514289"
"123"	"Bel01000"	"0.226353582040277"	"1.09303384428977"	"1.20698667948243"	"-0.205899174659639"	"0.5758982234054"
"124"	"Bel01015"	"0.218965765247411"	"1.00092405626639"	"1.10738993808234"	"-0.105784727804875"	"0.620496105160127"
"125"	"Bel01017"	"0.22661561583053"	"1.03175793117049"	"1.14231622937859"	"-0.107638917057153"	"0.627692808737063"
"126"	"Bel01018"	"0.226215566648179"	"1.05082511159699"	"1.163431442997"	"-0.157645625946626"	"0.599491186525135"
"127"	"Bel01064"	"0.2148307714776"	"0.989757348727995"	"1.09498304009762"	"-0.0941786504022832"	"0.624799005567746"
"128"	"Bel01203"	"0.250473156995799"	"1.14353640888862"	"1.26198796378531"	"-0.244944216057458"	"0.552271767894368"
"129"	"Bel01207"	"0.218844866505799"	"1.03651685427641"	"1.14585248220339"	"-0.158243539446759"	"0.59826988920614"
"130"	"Bel01209"	"0.229323767985978"	"1.07531845534433"	"1.18433449889241"	"-0.190742294519239"	"0.584226477017429"
"131"	"Bel01211"	"0.213248897111143"	"0.972897518501935"	"1.07826963027069"	"-0.0918360360938547"	"0.629033914506743"
"132"	"Bel01215"	"0.240558224283585"	"1.14328329580761"	"1.26447251476831"	"-0.250012700067275"	"0.557811479326119"
"133"	"Bel01241"	"0.208724421908153"	"0.953561139489721"	"1.05495362606651"	"-0.0719900759130123"	"0.634669043101964"
"134"	"Bel01243"	"0.211670564162526"	"0.967307339003788"	"1.06959900094839"	"-0.0800656955634667"	"0.631016072033793"
"135"	"Bel01298"	"0.215230658428414"	"0.99383878838059"	"1.10048976886203"	"-0.108899536838298"	"0.618907825411803"
"136"	"Bel01302"	"0.20902222708858"	"0.9645627759934"	"1.0685092590434"	"-0.0855721084628566"	"0.63053301837722"
"137"	"Bel01306"	"0.22319818053486"	"1.05256477469978"	"1.16525361845757"	"-0.177364941692056"	"0.588424048780529"
"138"	"Bel01359"	"0.208379154989535"	"0.949861188001959"	"1.05188502713752"	"-0.0621500039195112"	"0.63868116325967"
"139"	"Bel01361"	"0.259964884754754"	"1.20581630821375"	"1.33191293593116"	"-0.223810564247939"	"0.584835496625394"
"140"	"Bel01376"	"0.22095568808032"	"1.03218684650903"	"1.14021464279241"	"-0.148230773922025"	"0.605697473541546"
"141"	"Bel01378"	"0.234332542592193"	"1.12179844359464"	"1.23501738854368"	"-0.233545500481074"	"0.56586474014576"
"142"	"Bel01380"	"0.215334889567247"	"0.988954285836795"	"1.09311915986315"	"-0.0918320841531011"	"0.626660474201411"
"143"	"Bel01382"	"0.237364904255796"	"1.16113823630052"	"1.28144629149159"	"-0.263405881062422"	"0.551722031059491"
"144"	"Bel01386"	"0.213739905117155"	"0.970843016070318"	"1.07462084698631"	"-0.0735527953801805"	"0.632574268364711"
"145"	"Bel01388"	"0.23422970595627"	"1.07173002529855"	"1.1856150222216"	"-0.139340071385449"	"0.611509570456565"
"146"	"Bel01390"	"0.221166944150144"	"1.03360065268755"	"1.14149373247121"	"-0.14616167262076"	"0.60526367913123"
"147"	"Bel01530"	"0.21373826058796"	"0.980579827434813"	"1.08429182332817"	"-0.0819441986463711"	"0.630615701159535"
"148"	"Bel01532"	"0.21303633897337"	"0.968973237502905"	"1.07080905047834"	"-0.0735531821113791"	"0.629648706270027"
"149"	"Bel01536"	"0.228310129424734"	"1.08568602746873"	"1.19763560567533"	"-0.204068909431008"	"0.581250078138622"
"150"	"Bel01557"	"0.219690455717971"	"1.01905874299708"	"1.12288373930455"	"-0.121034231489342"	"0.606813239976391"
"151"	"Bel01559"	"0.213050652891376"	"0.973911252395283"	"1.07866717201461"	"-0.0854377122269566"	"0.62622297939492"
"152"	"Bel01561"	"0.2228696011728"	"1.035780373913"	"1.14420011175503"	"-0.148644913276284"	"0.60248031869974"
"153"	"Bel01563"	"0.21543684116491"	"0.987714414957497"	"1.09372129882508"	"-0.0944500680540502"	"0.626426879559003"
"154"	"Bel01664"	"0.209510632100204"	"0.961051466129419"	"1.0618447347552"	"-0.0732734229525177"	"0.632837996454825"
